dataset,K,source,n_seeds,weighted_f1_mean,weighted_f1_std,weighted_f1_max,macro_f1_mean,macro_f1_std,weighted_accuracy_mean,weighted_accuracy_std,mean_auc_mean,mean_auc_std,mean_auc_max
MNIST-10,4,parallel_50ep,1,0.9922,nan,0.9922,0.9921,nan,0.9922,nan,0.9998,nan,0.9998
MNIST-10,1,baseline_10seed,10,0.9904,0.0009,0.9925,0.9902,0.001,0.9904,0.0009,0.9998,0.0001,0.9999
MNIST-4,1,baseline_10seed,10,0.9973,0.0009,0.9993,0.9973,0.0009,0.9973,0.0009,0.9999,0.0,1.0
MNIST-4,4,parallel_50ep,1,0.9971,nan,0.9971,0.9971,nan,0.9971,nan,1.0,nan,1.0
PathMNIST,1,baseline_10seed,10,0.8115,0.0252,0.8513,0.7794,0.0191,0.8138,0.0261,0.9749,0.0035,0.979
DermaMNIST,4,parallel_50ep,1,0.6977,nan,0.6977,0.4499,nan,0.6803,nan,0.9065,nan,0.9065
DermaMNIST,1,baseline_10seed,10,0.645,0.0164,0.6689,0.3625,0.0417,0.6474,0.02,0.8751,0.0077,0.8834
PneumoniaMNIST,1,baseline_10seed,10,0.8799,0.0156,0.9028,0.8687,0.0178,0.884,0.0138,0.9604,0.0048,0.9705
PneumoniaMNIST,4,parallel_50ep,1,0.8791,nan,0.8791,0.8679,nan,0.883,nan,0.9576,nan,0.9576
BreastMNIST,1,baseline_10seed,10,0.8138,0.0144,0.8308,0.7652,0.0175,0.8128,0.0165,0.8268,0.0136,0.8559
BreastMNIST,4,parallel_50ep,1,0.7965,nan,0.7965,0.7292,nan,0.8077,nan,0.8037,nan,0.8037
CIFAR-10,8,cifar_Ksweep_300ep,1,0.8392,nan,0.8392,0.8392,nan,0.8382,nan,0.9839,nan,0.9839
CIFAR-10,4,cifar_Ksweep_300ep,1,0.838,nan,0.838,0.838,nan,0.8383,nan,0.9838,nan,0.9838
CIFAR-10,2,cifar_Ksweep_300ep,1,0.8345,nan,0.8345,0.8345,nan,0.8339,nan,0.9836,nan,0.9836
CIFAR-10,4,parallel_50ep,1,0.8028,nan,0.8028,0.8028,nan,0.8016,nan,0.9779,nan,0.9779
CIFAR-10,1,baseline_10seed,10,0.7857,0.0035,0.7904,0.7857,0.0035,0.7843,0.0037,0.9745,0.0008,0.9757
CIFAR-10,1,parallel_50ep,1,0.7833,nan,0.7833,0.7833,nan,0.7824,nan,0.9749,nan,0.9749
CIFAR-100,8,cifar_Ksweep_300ep,1,0.5057,nan,0.5057,0.5057,nan,0.5179,nan,0.9674,nan,0.9674
CIFAR-100,2,cifar_Ksweep_300ep,1,0.4882,nan,0.4882,0.4882,nan,0.5006,nan,0.9662,nan,0.9662
CIFAR-100,4,cifar_Ksweep_300ep,1,0.4803,nan,0.4803,0.4803,nan,0.494,nan,0.9655,nan,0.9655
CIFAR-100,1,cifar_Ksweep_300ep,1,0.4644,nan,0.4644,0.4644,nan,0.4822,nan,0.9666,nan,0.9666
CIFAR-100,1,baseline_10seed,10,0.365,0.005,0.376,0.365,0.005,0.3905,0.0047,0.9532,0.0008,0.9541
CIFAR-100,1,parallel_50ep,1,0.3649,nan,0.3649,0.3649,nan,0.3908,nan,0.9528,nan,0.9528
CIFAR-100,4,parallel_50ep,1,0.3561,nan,0.3561,0.3561,nan,0.3821,nan,0.9509,nan,0.9509
