scale,img_size,k,params
micro,28,1,52997
micro,28,2,55409
micro,28,4,60233
micro,28,8,69881
micro,32,1,52997
micro,32,2,55409
micro,32,4,60233
micro,32,8,69881
micro,64,1,52997
micro,64,2,55409
micro,64,4,60233
micro,64,8,69881
micro,128,1,52997
micro,128,2,55409
micro,128,4,60233
micro,128,8,69881
micro,224,1,57925
micro,224,2,60337
micro,224,4,65161
micro,224,8,74809
small,28,1,95307
small,28,2,98583
small,28,4,105135
small,28,8,118239
small,32,1,95307
small,32,2,98583
small,32,4,105135
small,32,8,118239
small,64,1,95307
small,64,2,98583
small,64,4,105135
small,64,8,118239
small,128,1,95307
small,128,2,98583
small,128,4,105135
small,128,8,118239
small,224,1,105771
small,224,2,109047
small,224,4,115599
small,224,8,128703
medium,28,1,208633
medium,28,2,213781
medium,28,4,224077
medium,28,8,244669
medium,32,1,208633
medium,32,2,213781
medium,32,4,224077
medium,32,8,244669
medium,64,1,208633
medium,64,2,213781
medium,64,4,224077
medium,64,8,244669
medium,128,1,208633
medium,128,2,213781
medium,128,4,224077
medium,128,8,244669
medium,224,1,231241
medium,224,2,236389
medium,224,4,246685
medium,224,8,267277
large,28,1,986445
large,28,2,994041
large,28,4,1009233
large,28,8,1039617
large,32,1,986445
large,32,2,994041
large,32,4,1009233
large,32,8,1039617
large,64,1,986445
large,64,2,994041
large,64,4,1009233
large,64,8,1039617
large,128,1,986445
large,128,2,994041
large,128,4,1009233
large,128,8,1039617
large,224,1,1025805
large,224,2,1033401
large,224,4,1048593
large,224,8,1078977
