experiment_group,dataset,folder_name,quantum_heads_K,attention_encoding,no_quantum,scale,scheduler,cutmix_alpha,mixup_alpha,resolution,n_runs,best_seed_idx,weighted_accuracy_mean,weighted_accuracy_std,weighted_accuracy_min,weighted_accuracy_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,mean_auc_mean,mean_auc_std,mean_auc_min,mean_auc_max,source_path
results_old_backbone,breastmnist,breastmnist_k4,4,False,False,,,,,,1,0,0.7307692307692307,,0.7307692307692307,0.7307692307692307,0.7457980615875353,,0.7457980615875353,0.7457980615875353,0.7097288676236044,,0.7097288676236044,0.7097288676236044,0.8865914786967418,,0.8865914786967418,0.8865914786967418,results_old_backbone/breastmnist_k4/summary.json
results_old_backbone,breastmnist,breastmnist_k4_attenc,4,True,False,,,,,,1,0,0.75,,0.75,0.75,0.763614360629286,,0.763614360629286,0.763614360629286,0.7273093989511901,,0.7273093989511901,0.7273093989511901,0.8899331662489557,,0.8899331662489557,0.8899331662489557,results_old_backbone/breastmnist_k4_attenc/summary.json
results_old_backbone,breastmnist,breastmnist_k4_attenc_micro,4,True,False,micro,,,,,1,0,0.7884615384615384,,0.7884615384615384,0.7884615384615384,0.7988851727982162,,0.7988851727982162,0.7988851727982162,0.7631469979296066,,0.7631469979296066,0.7631469979296066,0.8930659983291562,,0.8930659983291562,0.8930659983291562,results_old_backbone/breastmnist_k4_attenc_micro/summary.json
results_old_backbone,breastmnist,breastmnist_k4_micro,4,False,False,micro,,,,,1,0,0.782051282051282,,0.782051282051282,0.782051282051282,0.7925295857988166,,0.7925295857988166,0.7925295857988166,0.7548076923076923,,0.7548076923076923,0.7548076923076923,0.891186299081036,,0.891186299081036,0.891186299081036,results_old_backbone/breastmnist_k4_micro/summary.json
results_old_backbone,breastmnist,breastmnist_no_quantum,,False,True,,,,,,1,0,0.7628205128205128,,0.7628205128205128,0.7628205128205128,0.7757367011098354,,0.7757367011098354,0.7757367011098354,0.7412935323383084,,0.7412935323383084,0.7412935323383084,0.8999582289055973,,0.8999582289055973,0.8999582289055973,results_old_backbone/breastmnist_no_quantum/summary.json
results_old_backbone,breastmnist,breastmnist_no_quantum_micro,,False,True,micro,,,,,1,0,0.8141025641025641,,0.8141025641025641,0.8141025641025641,0.8209394537373439,,0.8209394537373439,0.8209394537373439,0.7830736034524095,,0.7830736034524095,0.7830736034524095,0.9012113617376776,,0.9012113617376776,0.9012113617376776,results_old_backbone/breastmnist_no_quantum_micro/summary.json
results_old_backbone,cifar10,cifar10_k4,4,False,False,,,,,,1,0,0.8482,,0.8482,0.8482,0.8484758835930782,,0.8484758835930782,0.8484758835930782,0.8484758835930784,,0.8484758835930784,0.8484758835930784,0.9857184777777779,,0.9857184777777779,0.9857184777777779,results_old_backbone/cifar10_k4/summary.json
results_old_backbone,cifar10,cifar10_k4_attenc,4,True,False,,,,,,1,0,0.851,,0.851,0.851,0.8517037286511728,,0.8517037286511728,0.8517037286511728,0.8517037286511726,,0.8517037286511726,0.8517037286511726,0.9858766666666666,,0.9858766666666666,0.9858766666666666,results_old_backbone/cifar10_k4_attenc/summary.json
results_old_backbone,cifar10,cifar10_k4_attenc_micro,4,True,False,micro,,,,,1,0,0.8381,,0.8381,0.8381,0.8388218632512966,,0.8388218632512966,0.8388218632512966,0.8388218632512965,,0.8388218632512965,0.8388218632512965,0.9832727555555556,,0.9832727555555556,0.9832727555555556,results_old_backbone/cifar10_k4_attenc_micro/summary.json
results_old_backbone,cifar10,cifar10_k4_attenc_micro_cutmix1.0,4,True,False,micro,,1.0,,,1,0,0.8216,,0.8216,0.8216,0.822998268349327,,0.822998268349327,0.822998268349327,0.8229982683493271,,0.8229982683493271,0.8229982683493271,0.9818665666666666,,0.9818665666666666,0.9818665666666666,results_old_backbone/cifar10_k4_attenc_micro_cutmix1.0/summary.json
results_old_backbone,cifar10,cifar10_k4_micro,4,False,False,micro,,,,,1,0,0.8313,,0.8313,0.8313,0.8323461280117536,,0.8323461280117536,0.8323461280117536,0.8323461280117537,,0.8323461280117537,0.8323461280117537,0.9829472166666665,,0.9829472166666665,0.9829472166666665,results_old_backbone/cifar10_k4_micro/summary.json
results_old_backbone,cifar10,cifar10_no_quantum,,False,True,,,,,,1,0,0.8414,,0.8414,0.8414,0.8425366136763427,,0.8425366136763427,0.8425366136763427,0.8425366136763428,,0.8425366136763428,0.8425366136763428,0.9844772333333334,,0.9844772333333334,0.9844772333333334,results_old_backbone/cifar10_no_quantum/summary.json
results_old_backbone,cifar10,cifar10_no_quantum_micro,,False,True,micro,,,,,1,0,0.8153,,0.8153,0.8153,0.8155681691695624,,0.8155681691695624,0.8155681691695624,0.8155681691695624,,0.8155681691695624,0.8155681691695624,0.9815243222222222,,0.9815243222222222,0.9815243222222222,results_old_backbone/cifar10_no_quantum_micro/summary.json
results_old_backbone,cifar10,cifar10_no_quantum_micro_cutmix1.0,,False,True,micro,,1.0,,,1,0,0.8103,,0.8103,0.8103,0.8118050362823214,,0.8118050362823214,0.8118050362823214,0.8118050362823215,,0.8118050362823215,0.8118050362823215,0.9809626222222223,,0.9809626222222223,0.9809626222222223,results_old_backbone/cifar10_no_quantum_micro_cutmix1.0/summary.json
results_old_backbone,cifar100,cifar100_k4,4,False,False,,,,,,1,0,0.5204,,0.5204,0.5204,0.5084963425862143,,0.5084963425862143,0.5084963425862143,0.5084963425862143,,0.5084963425862143,0.5084963425862143,0.9678643535353537,,0.9678643535353537,0.9678643535353537,results_old_backbone/cifar100_k4/summary.json
results_old_backbone,cifar100,cifar100_k4_attenc,4,True,False,,,,,,1,0,0.505,,0.505,0.505,0.4956312447979063,,0.4956312447979063,0.4956312447979063,0.4956312447979063,,0.4956312447979063,0.4956312447979063,0.9668043030303031,,0.9668043030303031,0.9668043030303031,results_old_backbone/cifar100_k4_attenc/summary.json
results_old_backbone,cifar100,cifar100_no_quantum,,False,True,,,,,,1,0,0.5099,,0.5099,0.5099,0.49844016572328703,,0.49844016572328703,0.49844016572328703,0.4984401657232872,,0.4984401657232872,0.4984401657232872,0.9689320909090908,,0.9689320909090908,0.9689320909090908,results_old_backbone/cifar100_no_quantum/summary.json
results_old_backbone,dermamnist,dermamnist_k4,4,False,False,,,,,,1,0,0.46184538653366586,,0.46184538653366586,0.46184538653366586,0.5455049207024573,,0.5455049207024573,0.5455049207024573,0.3867156944674458,,0.3867156944674458,0.3867156944674458,0.8930521392424126,,0.8930521392424126,0.8930521392424126,results_old_backbone/dermamnist_k4/summary.json
results_old_backbone,dermamnist,dermamnist_k4_attenc,4,True,False,,,,,,1,0,0.456359102244389,,0.456359102244389,0.456359102244389,0.5450384820864889,,0.5450384820864889,0.5450384820864889,0.3908277841934397,,0.3908277841934397,0.3908277841934397,0.8876739599050423,,0.8876739599050423,0.8876739599050423,results_old_backbone/dermamnist_k4_attenc/summary.json
results_old_backbone,dermamnist,dermamnist_k4_attenc_micro,4,True,False,micro,,,,,1,0,0.2174563591022444,,0.2174563591022444,0.2174563591022444,0.23274427336571243,,0.23274427336571243,0.23274427336571243,0.3010433868989422,,0.3010433868989422,0.3010433868989422,0.8857854609266962,,0.8857854609266962,0.8857854609266962,results_old_backbone/dermamnist_k4_attenc_micro/summary.json
results_old_backbone,dermamnist,dermamnist_k4_micro,4,False,False,micro,,,,,1,0,0.41546134663341644,,0.41546134663341644,0.41546134663341644,0.5051786898918729,,0.5051786898918729,0.5051786898918729,0.3788289373006039,,0.3788289373006039,0.3788289373006039,0.8851469968456698,,0.8851469968456698,0.8851469968456698,results_old_backbone/dermamnist_k4_micro/summary.json
results_old_backbone,dermamnist,dermamnist_no_quantum,,False,True,,,,,,1,0,0.5201995012468827,,0.5201995012468827,0.5201995012468827,0.6006858452878825,,0.6006858452878825,0.6006858452878825,0.42545143953041636,,0.42545143953041636,0.42545143953041636,0.8856146409463557,,0.8856146409463557,0.8856146409463557,results_old_backbone/dermamnist_no_quantum/summary.json
results_old_backbone,dermamnist,dermamnist_no_quantum_micro,,False,True,micro,,,,,1,0,0.5740648379052369,,0.5740648379052369,0.5740648379052369,0.6398049343297786,,0.6398049343297786,0.6398049343297786,0.4048480261224339,,0.4048480261224339,0.4048480261224339,0.8830370129813863,,0.8830370129813863,0.8830370129813863,results_old_backbone/dermamnist_no_quantum_micro/summary.json
results_old_backbone,pathmnist,pathmnist_k4,4,False,False,,,,,,1,0,0.8887186629526462,,0.8887186629526462,0.8887186629526462,0.8868880116457739,,0.8868880116457739,0.8868880116457739,0.8651168025562895,,0.8651168025562895,0.8651168025562895,0.9860293363807793,,0.9860293363807793,0.9860293363807793,results_old_backbone/pathmnist_k4/summary.json
results_old_backbone,pathmnist,pathmnist_k4_attenc,4,True,False,,,,,,1,0,0.8803621169916435,,0.8803621169916435,0.8803621169916435,0.8751962751950342,,0.8751962751950342,0.8751962751950342,0.8507642387500209,,0.8507642387500209,0.8507642387500209,0.9833190007288333,,0.9833190007288333,0.9833190007288333,results_old_backbone/pathmnist_k4_attenc/summary.json
results_old_backbone,pathmnist,pathmnist_k4_attenc_micro,4,True,False,micro,,,,,1,0,0.9027855153203342,,0.9027855153203342,0.9027855153203342,0.9000216693823504,,0.9000216693823504,0.9000216693823504,0.8786473728265753,,0.8786473728265753,0.8786473728265753,0.988466800318998,,0.988466800318998,0.988466800318998,results_old_backbone/pathmnist_k4_attenc_micro/summary.json
results_old_backbone,pathmnist,pathmnist_k4_micro,4,False,False,micro,,,,,1,0,0.8881615598885794,,0.8881615598885794,0.8881615598885794,0.8872006359696668,,0.8872006359696668,0.8872006359696668,0.8652436369364631,,0.8652436369364631,0.8652436369364631,0.9836765335283424,,0.9836765335283424,0.9836765335283424,results_old_backbone/pathmnist_k4_micro/summary.json
results_old_backbone,pathmnist,pathmnist_no_quantum,,False,True,,,,,,1,0,0.8948467966573816,,0.8948467966573816,0.8948467966573816,0.8908639970176183,,0.8908639970176183,0.8908639970176183,0.8676511796107078,,0.8676511796107078,0.8676511796107078,0.9876086934762799,,0.9876086934762799,0.9876086934762799,results_old_backbone/pathmnist_no_quantum/summary.json
results_old_backbone,pathmnist,pathmnist_no_quantum_micro,,False,True,micro,,,,,1,0,0.8965181058495821,,0.8965181058495821,0.8965181058495821,0.8915380477154405,,0.8915380477154405,0.8915380477154405,0.8645033303925397,,0.8645033303925397,0.8645033303925397,0.9854115830129478,,0.9854115830129478,0.9854115830129478,results_old_backbone/pathmnist_no_quantum_micro/summary.json
results_old_backbone,pneumoniamnist,pneumoniamnist_k4,4,False,False,,,,,,1,0,0.9150641025641025,,0.9150641025641025,0.9150641025641025,0.9129862054177686,,0.9129862054177686,0.9129862054177686,0.9054477878636267,,0.9054477878636267,0.9054477878636267,0.9758492220030681,,0.9758492220030681,0.9758492220030681,results_old_backbone/pneumoniamnist_k4/summary.json
results_old_backbone,pneumoniamnist,pneumoniamnist_k4_attenc,4,True,False,,,,,,1,0,0.9198717948717948,,0.9198717948717948,0.9198717948717948,0.9180818326874857,,0.9180818326874857,0.9180818326874857,0.9111009801686802,,0.9111009801686802,0.9111009801686802,0.9699868507560816,,0.9699868507560816,0.9699868507560816,results_old_backbone/pneumoniamnist_k4_attenc/summary.json
results_old_backbone,pneumoniamnist,pneumoniamnist_k4_attenc_micro,4,True,False,micro,,,,,1,0,0.9022435897435898,,0.9022435897435898,0.9022435897435898,0.8997098646034815,,0.8997098646034815,0.8997098646034815,0.8909262841177734,,0.8909262841177734,0.8909262841177734,0.9742055665132588,,0.9742055665132588,0.9742055665132588,results_old_backbone/pneumoniamnist_k4_attenc_micro/summary.json
results_old_backbone,pneumoniamnist,pneumoniamnist_k4_micro,4,False,False,micro,,,,,1,0,0.9230769230769231,,0.9230769230769231,0.9230769230769231,0.9213585593799862,,0.9213585593799862,0.9213585593799862,0.914656940961933,,0.914656940961933,0.914656940961933,0.9695595003287311,,0.9695595003287311,0.9695595003287311,results_old_backbone/pneumoniamnist_k4_micro/summary.json
results_old_backbone,pneumoniamnist,pneumoniamnist_no_quantum,,False,True,,,,,,1,0,0.9022435897435898,,0.9022435897435898,0.9022435897435898,0.8992654252049624,,0.8992654252049624,0.8992654252049624,0.8901557454397493,,0.8901557454397493,0.8901557454397493,0.9714223098838483,,0.9714223098838483,0.9714223098838483,results_old_backbone/pneumoniamnist_no_quantum/summary.json
results_old_backbone,pneumoniamnist,pneumoniamnist_no_quantum_micro,,False,True,micro,,,,,1,0,0.8926282051282052,,0.8926282051282052,0.8926282051282052,0.8891877232820838,,0.8891877232820838,0.8891877232820838,0.8790610219991611,,0.8790610219991611,0.8790610219991611,0.9594564979180363,,0.9594564979180363,0.9594564979180363,results_old_backbone/pneumoniamnist_no_quantum_micro/summary.json
